Date,Description,Category,Amount,Balance,Type
2025-01-30,Zomato Order,Food,-4669,45331,Debit
2024-08-29,Cash Deposit,Cash,-4764,40567,Debit
2024-01-30,Refund,Income,14052,54619,Credit
2025-02-13,UPI to Friend,Transfer,-2483,52136,Debit
2025-03-20,Flipkart Order,Shopping,-839,51297,Debit
2024-07-19,Bank Transfer,Transfer,-3853,47444,Debit
2025-02-06,Cafe Coffee Day,Food,-1573,45871,Debit
2025-02-16,Spotify,Entertainment,-9694,36177,Debit
2024-11-23,Refund,Income,22432,58609,Credit
2024-02-28,Movie Tickets,Entertainment,-4408,54201,Debit
2024-09-15,Doctor Visit,Health,-6443,47758,Debit
2024-04-11,Doctor Visit,Health,-9956,37802,Debit
2025-03-15,Electronics,Shopping,-1379,36423,Debit
2024-12-29,Uber Ride,Transport,-9503,26920,Debit
2024-12-17,Restaurant Bill,Food,-9204,17716,Debit
2024-01-01,Freelance Payment,Income,24633,42349,Credit
2024-07-10,Interest Credit,Savings Interest,6336,48685,Credit
2024-01-17,YouTube Premium,Entertainment,-8701,39984,Debit
2024-07-29,Amazon Purchase,Shopping,-1573,38411,Debit
2024-08-15,Electricity Bill,Utilities,-8133,30278,Debit
2025-01-09,Medical Store,Health,-8229,22049,Debit
2024-04-03,Myntra Shopping,Shopping,-8149,13900,Debit
2024-07-13,Interest Credit,Savings Interest,11801,25701,Credit
2025-03-15,Interest Credit,Savings Interest,25498,51199,Credit
2025-03-14,Internet Recharge,Utilities,-5417,45782,Debit
2024-10-01,Restaurant Bill,Food,-1590,44192,Debit
2024-08-03,Electricity Bill,Utilities,-5391,38801,Debit
2024-11-12,Restaurant Bill,Food,-1536,37265,Debit
2024-12-06,Medical Store,Health,-5403,31862,Debit
2025-04-30,Water Bill,Utilities,-2133,29729,Debit
2024-07-07,FD Interest,Savings Interest,15741,45470,Credit
2024-04-22,Spotify,Entertainment,-9460,36010,Debit
2024-10-22,Bonus,Income,14217,50227,Credit
2024-10-22,Zomato Order,Food,-8051,42176,Debit
2024-03-07,Doctor Visit,Health,-3697,38479,Debit
